<<<<<<< HEAD
_SOURCE 0 98
global_step/Initializer/zeros 230 250
add_698/y 254 261
bert/embeddings/word_embeddings/adam_m 263 328
bert/encoder/layer_1/output/dense/kernel/adam_m 331 348
bert/encoder/layer_1/output/dense/kernel/adam_v 351 361
bert/encoder/layer_1/output/dense/bias/adam_m 363 372
bert/encoder/layer_1/output/dense/bias/adam_v 374 383
bert/encoder/layer_1/output/LayerNorm/beta/adam_m 385 394
bert/encoder/layer_1/output/LayerNorm/beta/adam_v 396 404
bert/encoder/layer_1/output/LayerNorm/gamma/adam_m 406 415
bert/encoder/layer_1/output/LayerNorm/gamma/adam_v 416 425
bert/encoder/layer_2/attention/self/query/kernel/adam_m 427 440
bert/encoder/layer_2/attention/self/query/kernel/adam_v 442 449
bert/encoder/layer_2/attention/self/query/bias/adam_m 451 463
bert/encoder/layer_2/attention/self/query/bias/adam_v 465 473
bert/encoder/layer_2/attention/self/key/kernel/adam_m 475 485
bert/encoder/layer_2/attention/self/key/kernel/adam_v 487 496
bert/encoder/layer_2/attention/self/key/bias/adam_m 498 506
bert/encoder/layer_2/attention/self/key/bias/adam_v 507 526
bert/encoder/layer_2/attention/self/value/kernel/adam_m 527 538
bert/encoder/layer_2/attention/self/value/kernel/adam_v 540 550
bert/encoder/layer_2/attention/self/value/bias/adam_m 552 560
bert/encoder/layer_2/attention/self/value/bias/adam_v 562 570
bert/embeddings/LayerNorm/gamma/adam_m 572 585
bert/encoder/layer_2/attention/output/dense/kernel/adam_m 588 598
bert/encoder/layer_2/attention/output/dense/kernel/adam_v 600 609
bert/encoder/layer_2/attention/output/dense/bias/adam_m 611 622
bert/encoder/layer_2/attention/output/dense/bias/adam_v 624 633
bert/encoder/layer_2/attention/output/LayerNorm/beta/adam_m 635 644
bert/encoder/layer_2/attention/output/LayerNorm/beta/adam_v 646 657
bert/encoder/layer_2/attention/output/LayerNorm/gamma/adam_m 659 667
bert/embeddings/LayerNorm/gamma/adam_v 669 680
bert/encoder/layer_2/attention/output/LayerNorm/gamma/adam_v 683 693
bert/encoder/layer_2/intermediate/dense/kernel/adam_m 695 704
bert/encoder/layer_2/intermediate/dense/kernel/adam_v 705 715
bert/encoder/layer_2/intermediate/dense/bias/adam_m 721 730
bert/encoder/layer_2/intermediate/dense/bias/adam_v 732 741
bert/encoder/layer_2/output/dense/kernel/adam_m 743 752
bert/encoder/layer_2/output/dense/kernel/adam_v 754 762
bert/encoder/layer_2/output/dense/bias/adam_m 764 775
bert/encoder/layer_2/output/dense/bias/adam_v 783 792
bert/encoder/layer_2/output/LayerNorm/beta/adam_m 793 802
bert/encoder/layer_2/output/LayerNorm/beta/adam_v 804 820
bert/encoder/layer_2/output/LayerNorm/gamma/adam_m 822 830
bert/encoder/layer_2/output/LayerNorm/gamma/adam_v 832 843
bert/encoder/layer_0/attention/self/query/kernel/adam_m 845 863
bert/encoder/layer_3/attention/self/query/kernel/adam_m 865 878
bert/encoder/layer_3/attention/self/query/kernel/adam_v 880 893
bert/encoder/layer_3/attention/self/query/bias/adam_m 895 910
bert/encoder/layer_3/attention/self/query/bias/adam_v 912 920
bert/encoder/layer_3/attention/self/key/kernel/adam_m 923 936
bert/encoder/layer_3/attention/self/key/kernel/adam_v 938 948
bert/encoder/layer_3/attention/self/key/bias/adam_m 950 989
bert/encoder/layer_0/attention/self/query/kernel/adam_v 991 1006
bert/encoder/layer_3/attention/self/key/bias/adam_v 1008 1017
bert/encoder/layer_3/attention/self/value/kernel/adam_m 1062 1076
bert/encoder/layer_3/attention/self/value/kernel/adam_v 1079 1090
bert/encoder/layer_3/attention/self/value/bias/adam_m 1092 1105
bert/encoder/layer_3/attention/self/value/bias/adam_v 1107 1117
bert/encoder/layer_3/attention/output/dense/kernel/adam_m 1119 1128
bert/encoder/layer_3/attention/output/dense/kernel/adam_v 1134 1142
bert/encoder/layer_3/attention/output/dense/bias/adam_m 1144 1152
bert/encoder/layer_3/attention/output/dense/bias/adam_v 1154 1167
bert/encoder/layer_3/attention/output/LayerNorm/beta/adam_m 1169 1178
bert/encoder/layer_3/attention/output/LayerNorm/beta/adam_v 1181 1210
bert/encoder/layer_3/attention/output/LayerNorm/gamma/adam_m 1213 1225
bert/encoder/layer_3/attention/output/LayerNorm/gamma/adam_v 1228 1236
bert/encoder/layer_0/attention/self/query/bias/adam_m 1238 1252
bert/encoder/layer_3/intermediate/dense/kernel/adam_m 1254 1263
bert/encoder/layer_3/intermediate/dense/kernel/adam_v 1265 1278
bert/encoder/layer_3/intermediate/dense/bias/adam_m 1280 1288
bert/encoder/layer_3/intermediate/dense/bias/adam_v 1290 1301
bert/encoder/layer_3/output/dense/kernel/adam_m 1303 1316
bert/encoder/layer_3/output/dense/kernel/adam_v 1318 1327
bert/encoder/layer_3/output/dense/bias/adam_m 1329 1350
bert/embeddings/word_embeddings/adam_v 1352 1363
gradients/range 1365 1376
gradients/bert/embeddings/embedding_lookup_grad/ExpandDims 1378 1389
bert/encoder/layer_0/attention/self/query/bias/adam_v 1391 1401
bert/encoder/layer_3/output/dense/bias/adam_v 1404 1412
bert/encoder/layer_3/output/LayerNorm/beta/adam_m 1439 1449
bert/encoder/layer_3/output/LayerNorm/beta/adam_v 1452 1460
bert/encoder/layer_3/output/LayerNorm/gamma/adam_m 1461 2143
bert/encoder/layer_3/output/LayerNorm/gamma/adam_v 2145 2153
bert/encoder/layer_4/attention/self/query/kernel/adam_m 2155 2178
bert/encoder/layer_4/attention/self/query/kernel/adam_v 2221 2234
bert/encoder/layer_4/attention/self/query/bias/adam_m 2236 2252
bert/encoder/layer_4/attention/self/query/bias/adam_v 2255 2416
bert/encoder/layer_4/attention/self/key/kernel/adam_m 2418 2428
bert/encoder/layer_4/attention/self/key/kernel/adam_v 2430 2438
bert/encoder/layer_4/attention/self/key/bias/adam_m 2444 2453
bert/encoder/layer_4/attention/self/key/bias/adam_v 2455 2465
bert/encoder/layer_0/attention/self/key/kernel/adam_m 2467 2482
bert/encoder/layer_4/attention/self/value/kernel/adam_m 2484 2494
bert/encoder/layer_4/attention/self/value/kernel/adam_v 2497 2507
bert/encoder/layer_4/attention/self/value/bias/adam_m 2512 2526
bert/encoder/layer_4/attention/self/value/bias/adam_v 2527 2536
bert/encoder/layer_4/attention/output/dense/kernel/adam_m 2537 2566
bert/encoder/layer_4/attention/output/dense/kernel/adam_v 2568 2577
bert/encoder/layer_4/attention/output/dense/bias/adam_m 2580 2588
bert/encoder/layer_0/attention/self/key/kernel/adam_v 2594 2602
bert/encoder/layer_4/attention/output/dense/bias/adam_v 2604 2614
bert/encoder/layer_4/attention/output/LayerNorm/beta/adam_m 2616 2628
bert/encoder/layer_4/attention/output/LayerNorm/beta/adam_v 2630 2638
bert/encoder/layer_4/attention/output/LayerNorm/gamma/adam_m 2640 2649
bert/encoder/layer_4/attention/output/LayerNorm/gamma/adam_v 2655 2665
bert/encoder/layer_4/intermediate/dense/kernel/adam_m 2670 2686
bert/encoder/layer_4/intermediate/dense/kernel/adam_v 2688 2700
bert/encoder/layer_4/intermediate/dense/bias/adam_m 2702 2713
bert/encoder/layer_4/intermediate/dense/bias/adam_v 2715 2723
bert/encoder/layer_4/output/dense/kernel/adam_m 2729 2742
bert/encoder/layer_4/output/dense/kernel/adam_v 2744 2754
bert/encoder/layer_4/output/dense/bias/adam_m 2756 2771
bert/encoder/layer_4/output/dense/bias/adam_v 2773 2781
bert/encoder/layer_0/attention/self/key/bias/adam_m 2783 2792
bert/encoder/layer_4/output/LayerNorm/beta/adam_m 2798 2808
bert/encoder/layer_4/output/LayerNorm/beta/adam_v 2810 2820
bert/encoder/layer_4/output/LayerNorm/gamma/adam_m 2822 2838
bert/encoder/layer_4/output/LayerNorm/gamma/adam_v 2840 2851
bert/encoder/layer_5/attention/self/query/kernel/adam_m 2853 2864
bert/encoder/layer_5/attention/self/query/kernel/adam_v 2876 2887
bert/encoder/layer_5/attention/self/query/bias/adam_m 2889 2898
bert/encoder/layer_0/attention/self/key/bias/adam_v 2899 2928
bert/encoder/layer_5/attention/self/query/bias/adam_v 2930 2938
bert/encoder/layer_5/attention/self/key/kernel/adam_m 2940 2949
bert/encoder/layer_5/attention/self/key/kernel/adam_v 2969 2980
bert/encoder/layer_5/attention/self/key/bias/adam_m 2983 2994
bert/encoder/layer_5/attention/self/key/bias/adam_v 2996 3023
bert/encoder/layer_5/attention/self/value/kernel/adam_m 3027 3037
bert/encoder/layer_5/attention/self/value/kernel/adam_v 3039 3067
bert/encoder/layer_5/attention/self/value/bias/adam_m 3069 3078
bert/encoder/layer_5/attention/self/value/bias/adam_v 3080 3090
bert/encoder/layer_5/attention/output/dense/kernel/adam_m 3109 3119
bert/encoder/layer_5/attention/output/dense/kernel/adam_v 3121 3129
bert/encoder/layer_5/attention/output/dense/bias/adam_m 3131 3144
bert/encoder/layer_5/attention/output/dense/bias/adam_v 3146 3156
bert/encoder/layer_0/attention/self/value/kernel/adam_m 3158 3167
bert/encoder/layer_5/attention/output/LayerNorm/beta/adam_m 3185 3195
bert/encoder/layer_5/attention/output/LayerNorm/beta/adam_v 3197 3205
bert/encoder/layer_5/attention/output/LayerNorm/gamma/adam_m 3207 3220
bert/encoder/layer_5/attention/output/LayerNorm/gamma/adam_v 3222 3231
bert/encoder/layer_5/intermediate/dense/kernel/adam_m 3233 3243
bert/encoder/layer_5/intermediate/dense/kernel/adam_v 3249 3261
bert/encoder/layer_5/intermediate/dense/bias/adam_m 3263 3273
bert/encoder/layer_0/attention/self/value/kernel/adam_v 3274 3290
bert/encoder/layer_5/intermediate/dense/bias/adam_v 3292 3300
bert/encoder/layer_5/output/dense/kernel/adam_m 3302 3313
bert/encoder/layer_5/output/dense/kernel/adam_v 3318 3327
bert/encoder/layer_5/output/dense/bias/adam_m 3330 3341
bert/encoder/layer_5/output/dense/bias/adam_v 3343 3360
bert/encoder/layer_5/output/LayerNorm/beta/adam_m 3362 3370
bert/encoder/layer_5/output/LayerNorm/beta/adam_v 3372 3381
bert/encoder/layer_5/output/LayerNorm/gamma/adam_m 3388 3397
bert/encoder/layer_5/output/LayerNorm/gamma/adam_v 3399 3407
bert/encoder/layer_6/attention/self/query/kernel/adam_m 3409 3425
bert/encoder/layer_6/attention/self/query/kernel/adam_v 3427 3435
bert/encoder/layer_6/attention/self/query/bias/adam_m 3437 3451
bert/encoder/layer_6/attention/self/query/bias/adam_v 3465 3474
bert/encoder/layer_0/attention/self/value/bias/adam_m 3475 3485
bert/encoder/layer_6/attention/self/key/kernel/adam_m 3487 3500
bert/encoder/layer_6/attention/self/key/kernel/adam_v 3502 3510
bert/encoder/layer_6/attention/self/key/bias/adam_m 3512 3520
bert/encoder/layer_6/attention/self/key/bias/adam_v 3529 3537
bert/encoder/layer_6/attention/self/value/kernel/adam_m 3539 3548
bert/encoder/layer_6/attention/self/value/kernel/adam_v 3550 3562
bert/encoder/layer_6/attention/self/value/bias/adam_m 3565 3575
bert/encoder/layer_0/attention/self/value/bias/adam_v 3577 3585
bert/encoder/layer_6/attention/self/value/bias/adam_v 3591 3599
bert/encoder/layer_6/attention/output/dense/kernel/adam_m 3601 3612
bert/encoder/layer_6/attention/output/dense/kernel/adam_v 3614 3627
bert/encoder/layer_6/attention/output/dense/bias/adam_m 3629 3637
bert/encoder/layer_6/attention/output/dense/bias/adam_v 3640 3648
bert/encoder/layer_6/attention/output/LayerNorm/beta/adam_m 3653 3662
bert/encoder/layer_6/attention/output/LayerNorm/beta/adam_v 3664 3672
bert/encoder/layer_6/attention/output/LayerNorm/gamma/adam_m 3674 3687
bert/encoder/layer_6/attention/output/LayerNorm/gamma/adam_v 3688 3697
bert/encoder/layer_6/intermediate/dense/kernel/adam_m 3699 3709
bert/encoder/layer_6/intermediate/dense/kernel/adam_v 3715 3723
bert/encoder/layer_6/intermediate/dense/bias/adam_m 3725 3733
bert/encoder/layer_6/intermediate/dense/bias/adam_v 3735 3747
bert/encoder/layer_0/attention/output/dense/kernel/adam_m 3749 3758
bert/encoder/layer_6/output/dense/kernel/adam_m 3760 3772
bert/encoder/layer_6/output/dense/kernel/adam_v 3778 3787
bert/encoder/layer_6/output/dense/bias/adam_m 3789 3798
bert/encoder/layer_6/output/dense/bias/adam_v 3800 3812
bert/encoder/layer_6/output/LayerNorm/beta/adam_m 3814 3822
bert/encoder/layer_6/output/LayerNorm/beta/adam_v 3824 3832
bert/encoder/layer_6/output/LayerNorm/gamma/adam_m 3834 3848
bert/encoder/layer_0/attention/output/dense/kernel/adam_v 3850 3860
bert/encoder/layer_6/output/LayerNorm/gamma/adam_v 3862 3875
bert/encoder/layer_7/attention/self/query/kernel/adam_m 3877 3886
bert/encoder/layer_7/attention/self/query/kernel/adam_v 3888 3897
bert/encoder/layer_7/attention/self/query/bias/adam_m 3902 3913
bert/encoder/layer_7/attention/self/query/bias/adam_v 3914 3922
bert/encoder/layer_7/attention/self/key/kernel/adam_m 3924 3937
bert/encoder/layer_7/attention/self/key/kernel/adam_v 3939 3948
bert/encoder/layer_7/attention/self/key/bias/adam_m 3949 3958
bert/encoder/layer_7/attention/self/key/bias/adam_v 3963 3971
bert/encoder/layer_7/attention/self/value/kernel/adam_m 3973 3981
bert/encoder/layer_7/attention/self/value/kernel/adam_v 3983 4009
bert/encoder/layer_7/attention/self/value/bias/adam_m 4011 4020
bert/encoder/layer_7/attention/self/value/bias/adam_v 4021 4041
bert/encoder/layer_0/attention/output/dense/bias/adam_m 4048 4060
bert/encoder/layer_7/attention/output/dense/kernel/adam_m 4062 4070
bert/encoder/layer_7/attention/output/dense/kernel/adam_v 4072 4087
bert/encoder/layer_7/attention/output/dense/bias/adam_m 4088 4097
bert/encoder/layer_7/attention/output/dense/bias/adam_v 4099 4162
bert/encoder/layer_7/attention/output/LayerNorm/beta/adam_m 4499 4528
bert/encoder/layer_7/attention/output/LayerNorm/beta/adam_v 4534 4547
bert/encoder/layer_7/attention/output/LayerNorm/gamma/adam_m 4549 4570
bert/encoder/layer_0/attention/output/dense/bias/adam_v 4572 4581
bert/encoder/layer_7/attention/output/LayerNorm/gamma/adam_v 4583 4591
bert/encoder/layer_7/intermediate/dense/kernel/adam_m 4593 4614
bert/encoder/layer_7/intermediate/dense/kernel/adam_v 4616 4625
bert/encoder/layer_7/intermediate/dense/bias/adam_m 4626 4644
bert/encoder/layer_7/intermediate/dense/bias/adam_v 4646 4654
bert/encoder/layer_7/output/dense/kernel/adam_m 4656 4665
bert/encoder/layer_7/output/dense/kernel/adam_v 4667 4733
bert/encoder/layer_7/output/dense/bias/adam_m 4739 4749
