v_1/tower_1/gradients/AddN_163/_1895	v_1/tower_1/gradients/AddN_163/_1894
v_1/tower_1/gradients/AddN_160/_1879	v_1/tower_1/gradients/AddN_160/_1878
v_1/tower_1/gradients/AddN_152/_1847	v_1/tower_1/gradients/AddN_152/_1846
v_1/tower_1/gradients/AddN_147/_1839	v_1/tower_1/gradients/AddN_147/_1838
v_1/tower_1/gradients/AddN_140/_1807	v_1/tower_1/gradients/AddN_140/_1806
v_1/tower_1/gradients/AddN_137/_1803	v_1/tower_1/gradients/AddN_137/_1802
v_1/tower_1/gradients/AddN_19/_1367	v_1/tower_1/gradients/AddN_19/_1366
v_1/tower_1/gradients/AddN_136/_1795	v_1/tower_1/gradients/AddN_136/_1794
v_1/tower_1/gradients/AddN_130/_1775	v_1/tower_1/gradients/AddN_130/_1774
v_1/tower_1/gradients/AddN_125/_1751	v_1/tower_1/gradients/AddN_125/_1750
v_1/tower_1/gradients/AddN_123/_1747	v_1/tower_1/gradients/AddN_123/_1746
v_1/tower_1/gradients/AddN_131/_1771	v_1/tower_1/gradients/AddN_131/_1770
v_1/tower_1/gradients/AddN_144/_1827	v_1/tower_1/gradients/AddN_144/_1826
v_1/tower_1/gradients/AddN_121/_1743	v_1/tower_1/gradients/AddN_121/_1742
v_1/tower_1/gradients/AddN_60/_1519	v_1/tower_1/gradients/AddN_60/_1518
v_1/tower_1/gradients/AddN_122/_1739	v_1/tower_1/gradients/AddN_122/_1738
v_1/tower_1/gradients/AddN_113/_1711	v_1/tower_1/gradients/AddN_113/_1710
v_1/tower_1/gradients/AddN_111/_1707	v_1/tower_1/gradients/AddN_111/_1706
v_1/tower_1/gradients/AddN_76/_1571	v_1/tower_1/gradients/AddN_76/_1570
v_1/tower_1/gradients/AddN_90/_1627	v_1/tower_1/gradients/AddN_90/_1626
v_1/tower_1/gradients/AddN_84/_1603	v_1/tower_1/gradients/AddN_84/_1602
v_1/tower_1/gradients/AddN_100/_1663	v_1/tower_1/gradients/AddN_100/_1662
v_1/tower_1/gradients/AddN_4/_1315	v_1/tower_1/gradients/AddN_4/_1314
v_1/tower_1/gradients/AddN_97/_1651	v_1/tower_1/gradients/AddN_97/_1650
v_1/tower_1/gradients/AddN_94/_1647	v_1/tower_1/gradients/AddN_94/_1646
v_1/tower_1/gradients/AddN_93/_1639	v_1/tower_1/gradients/AddN_93/_1638
v/cg/resnet_v18/conv29/batchnorm29/gamma/read/_307	v/cg/resnet_v18/conv29/batchnorm29/gamma/read/_306
v/cg/resnet_v17/conv27/batchnorm27/gamma/read/_295	v/cg/resnet_v17/conv27/batchnorm27/gamma/read/_294
v/cg/resnet_v13/conv14/conv2d/kernel/read/_221	v/cg/resnet_v13/conv14/conv2d/kernel/read/_220
v/cg/resnet_v10/conv4/conv2d/kernel/read/_408	v/cg/resnet_v10/conv4/conv2d/kernel/read/_407
v/cg/resnet_v111/conv38/conv2d/kernel/read/_1020	v/cg/resnet_v111/conv38/conv2d/kernel/read/_1019
v/cg/resnet_v111/conv39/conv2d/kernel/read/_1045	v/cg/resnet_v111/conv39/conv2d/kernel/read/_1044
v/tower_0/cg/resnet_v18/conv28/batchnorm28/FusedBatchNorm/_853	v/tower_0/cg/resnet_v18/conv28/batchnorm28/FusedBatchNorm/_852
v/tower_0/gradients/v/tower_0/cg/resnet_v114/conv47/conv2d/Conv2D_grad/Conv2DBackpropFilter/_1373	v/tower_0/gradients/v/tower_0/cg/resnet_v114/conv47/conv2d/Conv2D_grad/Conv2DBackpropFilter/_1372
v/cg/resnet_v14/conv16/batchnorm16/beta/read/_237	v/cg/resnet_v14/conv16/batchnorm16/beta/read/_236
v/cg/resnet_v112/conv41/batchnorm41/beta/read/_69	v/cg/resnet_v112/conv41/batchnorm41/beta/read/_68
v/cg/resnet_v18/conv28/batchnorm28/gamma/read/_849	v/cg/resnet_v18/conv28/batchnorm28/gamma/read/_848
v/tower_0/cg/resnet_v12/conv8/batchnorm8/FusedBatchNorm/_493	v/tower_0/cg/resnet_v12/conv8/batchnorm8/FusedBatchNorm/_492
v/tower_0/gradients/v/tower_0/cg/resnet_v15/conv19/conv2d/Conv2D_grad/Conv2DBackpropFilter/_1709	v/tower_0/gradients/v/tower_0/cg/resnet_v15/conv19/conv2d/Conv2D_grad/Conv2DBackpropFilter/_1708
v/cg/resnet_v11/conv5/batchnorm5/beta/read/_437	v/cg/resnet_v11/conv5/batchnorm5/beta/read/_436
v/cg/resnet_v14/conv15/batchnorm15/gamma/read/_229	v/cg/resnet_v14/conv15/batchnorm15/gamma/read/_228
v/cg/resnet_v13/conv13/conv2d/kernel/read/_215	v/cg/resnet_v13/conv13/conv2d/kernel/read/_214
v/cg/resnet_v13/conv12/batchnorm12/gamma/read/_211	v/cg/resnet_v13/conv12/batchnorm12/gamma/read/_210
v/cg/resnet_v15/conv18/batchnorm18/beta/read/_249	v/cg/resnet_v15/conv18/batchnorm18/beta/read/_248
v/cg/resnet_v111/conv37/batchnorm37/beta/read/_45	v/cg/resnet_v111/conv37/batchnorm37/beta/read/_44
v/tower_0/gradients/v/tower_0/cg/resnet_v112/conv42/batchnorm42/FusedBatchNorm_grad/FusedBatchNormGrad/_1425	v/tower_0/gradients/v/tower_0/cg/resnet_v112/conv42/batchnorm42/FusedBatchNorm_grad/FusedBatchNormGrad/_1424
v_1/tower_1/gradients/AddN_107/_1687	v_1/tower_1/gradients/AddN_107/_1686
v_1/tower_1/gradients/AddN_120/_1735	v_1/tower_1/gradients/AddN_120/_1734
v_1/tower_1/gradients/AddN_156/_1867	v_1/tower_1/gradients/AddN_156/_1866
v/cg/resnet_v114/conv47/batchnorm47/gamma/read/_97	v/cg/resnet_v114/conv47/batchnorm47/gamma/read/_96
v/cg/resnet_v113/conv46/batchnorm46/beta/read/_93	v/cg/resnet_v113/conv46/batchnorm46/beta/read/_92
v/cg/resnet_v10/conv3/batchnorm3/gamma/read/_163	v/cg/resnet_v10/conv3/batchnorm3/gamma/read/_162
v/cg/resnet_v114/conv49/batchnorm49/beta/read/_111	v/cg/resnet_v114/conv49/batchnorm49/beta/read/_110
v/cg/resnet_v113/conv44/batchnorm44/gamma/read/_79	v/cg/resnet_v113/conv44/batchnorm44/gamma/read/_78
v/cg/resnet_v112/conv41/batchnorm41/gamma/read/_1083	v/cg/resnet_v112/conv41/batchnorm41/gamma/read/_1082
v/cg/resnet_v13/conv13/batchnorm13/gamma/read/_217	v/cg/resnet_v13/conv13/batchnorm13/gamma/read/_216
v/tower_0/gradients/v/tower_0/cg/resnet_v16/conv22/batchnorm22/FusedBatchNorm_grad/FusedBatchNormGrad/_1665	v/tower_0/gradients/v/tower_0/cg/resnet_v16/conv22/batchnorm22/FusedBatchNorm_grad/FusedBatchNormGrad/_1664
v/tower_0/gradients/v/tower_0/cg/resnet_v12/conv8/conv2d/Conv2D_grad/Conv2DBackpropFilter/_1841	v/tower_0/gradients/v/tower_0/cg/resnet_v12/conv8/conv2d/Conv2D_grad/Conv2DBackpropFilter/_1840
v_1/tower_1/gradients/AddN_146/_1831	v_1/tower_1/gradients/AddN_146/_1830
v_1/tower_1/gradients/AddN_42/_1451	v_1/tower_1/gradients/AddN_42/_1450
v/cg/resnet_v11/conv7/conv2d/kernel/read/_185	v/cg/resnet_v11/conv7/conv2d/kernel/read/_184
v/cg/resnet_v11/conv7/conv2d/kernel/read/_462	v/cg/resnet_v11/conv7/conv2d/kernel/read/_461
v/cg/resnet_v112/conv42/batchnorm42/beta/read/_1103	v/cg/resnet_v112/conv42/batchnorm42/beta/read/_1102
v/cg/resnet_v14/conv15/batchnorm15/beta/read/_231	v/cg/resnet_v14/conv15/batchnorm15/beta/read/_230
v/cg/resnet_v15/conv19/batchnorm19/gamma/read/_253	v/cg/resnet_v15/conv19/batchnorm19/gamma/read/_252
v/cg/resnet_v19/conv33/batchnorm33/beta/read/_941	v/cg/resnet_v19/conv33/batchnorm33/beta/read/_940
v/cg/resnet_v13/conv11/batchnorm11/beta/read/_141	v/cg/resnet_v13/conv11/batchnorm11/beta/read/_140
v/cg/resnet_v110/conv36/batchnorm36/beta/read/_39	v/cg/resnet_v110/conv36/batchnorm36/beta/read/_38
v/cg/resnet_v115/conv50/batchnorm50/gamma/read/_115	v/cg/resnet_v115/conv50/batchnorm50/gamma/read/_114
v/cg/resnet_v11/conv5/conv2d/kernel/read/_426	v/cg/resnet_v11/conv5/conv2d/kernel/read/_425
v/cg/resnet_v110/conv34/batchnorm34/gamma/read/_25	v/cg/resnet_v110/conv34/batchnorm34/gamma/read/_24
v_1/tower_1/gradients/AddN_74/_1567	v_1/tower_1/gradients/AddN_74/_1566
v/tower_0/gradients/v/tower_0/cg/resnet_v115/conv51/batchnorm51/FusedBatchNorm_grad/FusedBatchNormGrad/_1321	v/tower_0/gradients/v/tower_0/cg/resnet_v115/conv51/batchnorm51/FusedBatchNorm_grad/FusedBatchNormGrad/_1320
v/cg/resnet_v112/conv42/conv2d/kernel/read/_71	v/cg/resnet_v112/conv42/conv2d/kernel/read/_70
v/tower_0/cg/resnet_v19/conv32/batchnorm32/FusedBatchNorm/_927	v/tower_0/cg/resnet_v19/conv32/batchnorm32/FusedBatchNorm/_926
v/cg/resnet_v17/conv26/batchnorm26/gamma/read/_289	v/cg/resnet_v17/conv26/batchnorm26/gamma/read/_288
v/cg/resnet_v114/conv47/conv2d/kernel/read/_95	v/cg/resnet_v114/conv47/conv2d/kernel/read/_94
v/cg/resnet_v18/conv28/batchnorm28/beta/read/_303	v/cg/resnet_v18/conv28/batchnorm28/beta/read/_302
v/cg/resnet_v13/conv14/batchnorm14/beta/read/_225	v/cg/resnet_v13/conv14/batchnorm14/beta/read/_224
v_1/tower_1/gradients/AddN_13/_1343	v_1/tower_1/gradients/AddN_13/_1342
v/cg/resnet_v12/conv8/batchnorm8/gamma/read/_193	v/cg/resnet_v12/conv8/batchnorm8/gamma/read/_192
v/cg/resnet_v14/conv15/conv2d/kernel/read/_610	v/cg/resnet_v14/conv15/conv2d/kernel/read/_609
v/tower_0/gradients/v/tower_0/cg/resnet_v18/conv29/batchnorm29/FusedBatchNorm_grad/FusedBatchNormGrad/_1581	v/tower_0/gradients/v/tower_0/cg/resnet_v18/conv29/batchnorm29/FusedBatchNorm_grad/FusedBatchNormGrad/_1580
v/tower_0/cg/conv0/batchnorm0/FusedBatchNorm/_351	v/tower_0/cg/conv0/batchnorm0/FusedBatchNorm/_350
v/cg/resnet_v110/conv36/conv2d/kernel/read/_35	v/cg/resnet_v110/conv36/conv2d/kernel/read/_34
v/tower_0/xentropy/sparse_softmax_cross_entropy_loss/value/_1301	v/tower_0/xentropy/sparse_softmax_cross_entropy_loss/value/_1300
v_1/tower_1/gradients/AddN_69/_1547	v_1/tower_1/gradients/AddN_69/_1546
v/cg/resnet_v15/conv18/conv2d/kernel/read/_660	v/cg/resnet_v15/conv18/conv2d/kernel/read/_659
v/cg/resnet_v18/conv29/conv2d/kernel/read/_305	v/cg/resnet_v18/conv29/conv2d/kernel/read/_304
v/cg/resnet_v11/conv6/conv2d/kernel/read/_179	v/cg/resnet_v11/conv6/conv2d/kernel/read/_178
v/cg/resnet_v15/conv20/batchnorm20/beta/read/_261	v/cg/resnet_v15/conv20/batchnorm20/beta/read/_260
v/cg/resnet_v14/conv17/batchnorm17/beta/read/_243	v/cg/resnet_v14/conv17/batchnorm17/beta/read/_242
v/cg/resnet_v115/conv51/batchnorm51/gamma/read/_121	v/cg/resnet_v115/conv51/batchnorm51/gamma/read/_120
v/cg/resnet_v18/conv30/batchnorm30/beta/read/_315	v/cg/resnet_v18/conv30/batchnorm30/beta/read/_314
v/cg/resnet_v16/conv21/conv2d/kernel/read/_263	v/cg/resnet_v16/conv21/conv2d/kernel/read/_262
v/cg/resnet_v112/conv40/conv2d/kernel/read/_59	v/cg/resnet_v112/conv40/conv2d/kernel/read/_58
v/cg/resnet_v115/conv50/batchnorm50/gamma/read/_1245	v/cg/resnet_v115/conv50/batchnorm50/gamma/read/_1244
v/cg/resnet_v14/conv17/batchnorm17/gamma/read/_241	v/cg/resnet_v14/conv17/batchnorm17/gamma/read/_240
v/cg/resnet_v10/conv2/conv2d/kernel/read/_155	v/cg/resnet_v10/conv2/conv2d/kernel/read/_154
v/tower_0/gradients/v/tower_0/cg/resnet_v12/conv9/conv2d/Conv2D_grad/Conv2DBackpropFilter/_1829	v/tower_0/gradients/v/tower_0/cg/resnet_v12/conv9/conv2d/Conv2D_grad/Conv2DBackpropFilter/_1828
v/cg/resnet_v16/conv21/batchnorm21/gamma/read/_723	v/cg/resnet_v16/conv21/batchnorm21/gamma/read/_722
v/cg/resnet_v111/conv38/batchnorm38/gamma/read/_49	v/cg/resnet_v111/conv38/batchnorm38/gamma/read/_48
v/cg/resnet_v113/conv45/batchnorm45/beta/read/_87	v/cg/resnet_v113/conv45/batchnorm45/beta/read/_86
v/cg/affine0/biases/read/_13	v/cg/affine0/biases/read/_12
v/tower_0/cg/resnet_v114/conv48/batchnorm48/FusedBatchNorm/_1213	v/tower_0/cg/resnet_v114/conv48/batchnorm48/FusedBatchNorm/_1212
v/cg/resnet_v19/conv33/conv2d/kernel/read/_934	v/cg/resnet_v19/conv33/conv2d/kernel/read/_933
v_1/tower_1/gradients/AddN_30/_1411	v_1/tower_1/gradients/AddN_30/_1410
v/cg/resnet_v111/conv37/conv2d/kernel/read/_1002	v/cg/resnet_v111/conv37/conv2d/kernel/read/_1001
v/cg/resnet_v111/conv38/batchnorm38/beta/read/_51	v/cg/resnet_v111/conv38/batchnorm38/beta/read/_50
v/cg/resnet_v17/conv25/conv2d/kernel/read/_281	v/cg/resnet_v17/conv25/conv2d/kernel/read/_280
v/cg/resnet_v112/conv40/batchnorm40/beta/read/_63	v/cg/resnet_v112/conv40/batchnorm40/beta/read/_62
v/cg/resnet_v12/conv9/batchnorm9/beta/read/_201	v/cg/resnet_v12/conv9/batchnorm9/beta/read/_200
v_1/tower_1/gradients/AddN_26/_1395	v_1/tower_1/gradients/AddN_26/_1394
v/cg/resnet_v115/conv50/conv2d/kernel/read/_113	v/cg/resnet_v115/conv50/conv2d/kernel/read/_112
v/cg/resnet_v16/conv22/conv2d/kernel/read/_269	v/cg/resnet_v16/conv22/conv2d/kernel/read/_268
v/cg/resnet_v13/conv14/batchnorm14/gamma/read/_223	v/cg/resnet_v13/conv14/batchnorm14/gamma/read/_222
v/cg/resnet_v11/conv6/batchnorm6/gamma/read/_453	v/cg/resnet_v11/conv6/batchnorm6/gamma/read/_452
v/tower_0/cg/resnet_v16/conv21/batchnorm21/FusedBatchNorm/_729	v/tower_0/cg/resnet_v16/conv21/batchnorm21/FusedBatchNorm/_728
v/cg/resnet_v110/conv35/conv2d/kernel/read/_29	v/cg/resnet_v110/conv35/conv2d/kernel/read/_28
v/cg/resnet_v11/conv6/conv2d/kernel/read/_451	v/cg/resnet_v11/conv6/conv2d/kernel/read/_450
v/cg/resnet_v18/conv29/conv2d/kernel/read/_865	v/cg/resnet_v18/conv29/conv2d/kernel/read/_864
v/tower_0/gradients/v/tower_0/cg/resnet_v113/conv45/conv2d/Conv2D_grad/Conv2DBackpropFilter/_1409	v/tower_0/gradients/v/tower_0/cg/resnet_v113/conv45/conv2d/Conv2D_grad/Conv2DBackpropFilter/_1408
v/cg/resnet_v10/conv3/batchnorm3/beta/read/_165	v/cg/resnet_v10/conv3/batchnorm3/beta/read/_164
v/cg/resnet_v17/conv24/batchnorm24/gamma/read/_133	v/cg/resnet_v17/conv24/batchnorm24/gamma/read/_132
v/cg/conv0/batchnorm0/beta/read/_153	v/cg/conv0/batchnorm0/beta/read/_152
v/tower_0/gradients/v/tower_0/cg/conv0/batchnorm0/FusedBatchNorm_grad/FusedBatchNormGrad/_1933	v/tower_0/gradients/v/tower_0/cg/conv0/batchnorm0/FusedBatchNorm_grad/FusedBatchNormGrad/_1932
v/cg/resnet_v110/conv36/batchnorm36/gamma/read/_37	v/cg/resnet_v110/conv36/batchnorm36/gamma/read/_36
v/cg/resnet_v114/conv48/conv2d/kernel/read/_101	v/cg/resnet_v114/conv48/conv2d/kernel/read/_100
v/cg/resnet_v113/conv44/batchnorm44/gamma/read/_1133	v/cg/resnet_v113/conv44/batchnorm44/gamma/read/_1132
v/cg/resnet_v19/conv31/conv2d/kernel/read/_894	v/cg/resnet_v19/conv31/conv2d/kernel/read/_893
v/cg/resnet_v13/conv13/conv2d/kernel/read/_570	v/cg/resnet_v13/conv13/conv2d/kernel/read/_569
v/cg/resnet_v19/conv33/batchnorm33/gamma/read/_331	v/cg/resnet_v19/conv33/batchnorm33/gamma/read/_330
v_1/tower_1/gradients/AddN_110/_1699	v_1/tower_1/gradients/AddN_110/_1698
v/cg/resnet_v12/conv9/conv2d/kernel/read/_197	v/cg/resnet_v12/conv9/conv2d/kernel/read/_196
v/cg/resnet_v18/conv30/batchnorm30/gamma/read/_313	v/cg/resnet_v18/conv30/batchnorm30/gamma/read/_312
v/cg/resnet_v113/conv43/conv2d/kernel/read/_17	v/cg/resnet_v113/conv43/conv2d/kernel/read/_16
v/cg/resnet_v11/conv7/batchnorm7/beta/read/_189	v/cg/resnet_v11/conv7/batchnorm7/beta/read/_188
v/cg/resnet_v13/conv13/batchnorm13/beta/read/_219	v/cg/resnet_v13/conv13/batchnorm13/beta/read/_218
v/cg/resnet_v115/conv51/conv2d/kernel/read/_1258	v/cg/resnet_v115/conv51/conv2d/kernel/read/_1257
v/cg/resnet_v114/conv49/conv2d/kernel/read/_107	v/cg/resnet_v114/conv49/conv2d/kernel/read/_106
v/cg/resnet_v115/conv50/batchnorm50/beta/read/_117	v/cg/resnet_v115/conv50/batchnorm50/beta/read/_116
v/tower_0/gradients/v/tower_0/cg/resnet_v11/conv5/batchnorm5/FusedBatchNorm_grad/FusedBatchNormGrad/_1869	v/tower_0/gradients/v/tower_0/cg/resnet_v11/conv5/batchnorm5/FusedBatchNorm_grad/FusedBatchNormGrad/_1868
v_1/tower_1/gradients/AddN_23/_1379	v_1/tower_1/gradients/AddN_23/_1378
v/cg/resnet_v115/conv52/batchnorm52/beta/read/_129	v/cg/resnet_v115/conv52/batchnorm52/beta/read/_128
v/cg/resnet_v110/conv34/conv2d/kernel/read/_23	v/cg/resnet_v110/conv34/conv2d/kernel/read/_22
v/cg/resnet_v10/conv1/batchnorm1/beta/read/_147	v/cg/resnet_v10/conv1/batchnorm1/beta/read/_146
v/cg/resnet_v17/conv24/conv2d/kernel/read/_768	v/cg/resnet_v17/conv24/conv2d/kernel/read/_767
v/cg/resnet_v19/conv32/conv2d/kernel/read/_912	v/cg/resnet_v19/conv32/conv2d/kernel/read/_911
v/cg/resnet_v10/conv2/batchnorm2/beta/read/_379	v/cg/resnet_v10/conv2/batchnorm2/beta/read/_378
v/cg/resnet_v112/conv42/batchnorm42/beta/read/_75	v/cg/resnet_v112/conv42/batchnorm42/beta/read/_74
v/cg/resnet_v17/conv25/batchnorm25/gamma/read/_283	v/cg/resnet_v17/conv25/batchnorm25/gamma/read/_282
v/cg/resnet_v110/conv36/batchnorm36/gamma/read/_993	v/cg/resnet_v110/conv36/batchnorm36/gamma/read/_992
v/cg/resnet_v113/conv45/conv2d/kernel/read/_1146	v/cg/resnet_v113/conv45/conv2d/kernel/read/_1145
v/cg/resnet_v10/conv3/conv2d/kernel/read/_390	v/cg/resnet_v10/conv3/conv2d/kernel/read/_389
v/cg/resnet_v110/conv36/batchnorm36/beta/read/_995	v/cg/resnet_v110/conv36/batchnorm36/beta/read/_994
v/cg/resnet_v113/conv43/batchnorm43/gamma/read/_19	v/cg/resnet_v113/conv43/batchnorm43/gamma/read/_18
v/cg/resnet_v112/conv40/conv2d/kernel/read/_1056	v/cg/resnet_v112/conv40/conv2d/kernel/read/_1055
v/cg/resnet_v110/conv36/conv2d/kernel/read/_988	v/cg/resnet_v110/conv36/conv2d/kernel/read/_987
v/cg/resnet_v10/conv3/conv2d/kernel/read/_161	v/cg/resnet_v10/conv3/conv2d/kernel/read/_160
v/cg/resnet_v15/conv18/conv2d/kernel/read/_245	v/cg/resnet_v15/conv18/conv2d/kernel/read/_244
v/cg/resnet_v12/conv9/batchnorm9/beta/read/_509	v/cg/resnet_v12/conv9/batchnorm9/beta/read/_508
v/tower_0/gradients/v/tower_0/cg/resnet_v113/conv46/conv2d/Conv2D_grad/Conv2DBackpropFilter/_1397	v/tower_0/gradients/v/tower_0/cg/resnet_v113/conv46/conv2d/Conv2D_grad/Conv2DBackpropFilter/_1396
v/cg/resnet_v17/conv25/conv2d/kernel/read/_772	v/cg/resnet_v17/conv25/conv2d/kernel/read/_771
v_1/tower_1/gradients/AddN_80/_1591	v_1/tower_1/gradients/AddN_80/_1590
v_1/tower_1/gradients/AddN_127/_1759	v_1/tower_1/gradients/AddN_127/_1758
v/tower_0/gradients/v/tower_0/cg/resnet_v11/conv5/batchnorm5/FusedBatchNorm_grad/FusedBatchNormGrad/_1873	v/tower_0/gradients/v/tower_0/cg/resnet_v11/conv5/batchnorm5/FusedBatchNorm_grad/FusedBatchNormGrad/_1872
v/cg/resnet_v12/conv8/conv2d/kernel/read/_191	v/cg/resnet_v12/conv8/conv2d/kernel/read/_190
v/cg/resnet_v115/conv52/conv2d/kernel/read/_1272	v/cg/resnet_v115/conv52/conv2d/kernel/read/_1271
v/cg/resnet_v111/conv39/conv2d/kernel/read/_53	v/cg/resnet_v111/conv39/conv2d/kernel/read/_52
